id,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_value,occupancy_percent,price_group
39405,666,t,Highland,39.76605337851223,-105.00307815462764,Entire cottage,Entire home/apt,2,1.0,1.0,140.0,255,35700.0,4.86,100.0,<=300
676825,3440535,t,Stapleton,39.75706,-104.88374,Entire home,Entire home/apt,6,2.5,3.0,197.0,168,33096.0,4.9,65.88235294117646,<=300
715123,3654159,t,Platt Park,39.69381,-104.98364,Entire bungalow,Entire home/apt,2,1.0,2.0,157.0,255,40035.0,4.97,100.0,<=300
1402409,1382900,t,West Colfax,39.73995,-105.04053,Entire home,Entire home/apt,10,2.0,5.0,294.0,112,32928.0,4.95,43.92156862745098,<=300
1801950,9447036,t,CBD,39.74569,-104.99202,Entire loft,Entire home/apt,2,1.5,1.0,134.0,255,34170.0,4.84,100.0,<=300
2139342,10917089,t,Hilltop,39.72112,-104.91342,Entire rental unit,Entire home/apt,4,1.0,2.0,150.0,255,38250.0,4.94,100.0,<=300
2467260,11000035,t,City Park,39.74241,-104.95097,Entire guest suite,Entire home/apt,4,1.0,2.0,141.0,255,35955.0,4.9,100.0,<=300
2975710,15178224,t,West Highland,39.75936,-105.04792,Entire home,Entire home/apt,6,2.0,3.0,198.0,255,50490.0,4.86,100.0,<=300
4294257,22292048,t,Congress Park,39.73884825718342,-104.949571507518,Entire rental unit,Entire home/apt,2,1.0,1.0,127.0,255,32385.0,4.88,100.0,<=300
4951295,3543517,t,City Park West,39.74205,-104.96191,Entire guest suite,Entire home/apt,3,1.0,1.0,129.0,255,32895.0,4.75,100.0,<=300
5966633,30972487,f,Speer,39.71396,-104.97608,Entire guesthouse,Entire home/apt,2,1.0,1.0,122.0,255,31110.0,4.85,100.0,<=300
6333040,32967501,t,Five Points,39.76154,-104.9741,Entire guesthouse,Entire home/apt,3,1.0,1.0,144.0,255,36720.0,4.95,100.0,<=300
6349335,29472916,t,Regis,39.78471,-105.0361,Entire home,Entire home/apt,8,2.0,3.0,200.0,161,32200.0,4.88,63.13725490196078,<=300
6678066,23183224,t,Five Points,39.75021,-104.97909,Entire townhouse,Entire home/apt,6,2.5,2.0,217.0,161,34937.0,4.85,63.13725490196078,<=300
6869896,36000852,t,City Park,39.74392,-104.94826,Entire home,Entire home/apt,5,1.0,2.0,230.0,255,58650.0,4.88,100.0,<=300
7577128,8066753,t,Five Points,39.76267,-104.97346,Entire home,Entire home/apt,4,2.5,2.0,229.0,255,58395.0,4.89,100.0,<=300
8520978,44866752,t,Lincoln Park,39.72909,-105.00038,Entire home,Entire home/apt,10,2.0,3.0,270.0,255,68850.0,4.86,100.0,<=300
8682809,45596101,t,Whittier,39.75183,-104.96774,Entire rental unit,Entire home/apt,4,1.0,1.0,119.0,255,30345.0,4.96,100.0,<=300
9633450,16072418,t,Jefferson Park,39.75527,-105.02229,Entire townhouse,Entire home/apt,4,2.0,2.0,181.0,255,46155.0,4.89,100.0,<=300
10343072,47859549,t,Highland,39.76798,-105.0111,Entire townhouse,Entire home/apt,2,1.0,1.0,131.0,255,33405.0,4.77,100.0,<=300
