id,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_value,occupancy_percent,price_group
2975710,15178224,t,West Highland,39.75936,-105.04792,Entire home,Entire home/apt,6,2.0,3.0,198.0,255,50490.0,4.86,100.0,<=300
6869896,36000852,t,City Park,39.74392,-104.94826,Entire home,Entire home/apt,5,1.0,2.0,230.0,255,58650.0,4.88,100.0,<=300
7577128,8066753,t,Five Points,39.76267,-104.97346,Entire home,Entire home/apt,4,2.5,2.0,229.0,255,58395.0,4.89,100.0,<=300
8520978,44866752,t,Lincoln Park,39.72909,-105.00038,Entire home,Entire home/apt,10,2.0,3.0,270.0,255,68850.0,4.86,100.0,<=300
12953524,62569079,t,Jefferson Park,39.75053,-105.02392,Entire townhouse,Entire home/apt,6,2.0,2.0,278.0,255,70890.0,4.85,100.0,<=300
13260671,74643309,f,Union Station,39.7507303089528,-104.99587153615616,Entire condo,Entire home/apt,7,1.0,3.0,198.0,255,50490.0,4.86,100.0,<=300
13764044,8751405,t,Cherry Creek,39.72184,-104.95174,Entire home,Entire home/apt,5,1.0,2.0,264.0,255,67320.0,4.88,100.0,<=300
17175955,115562717,t,University,39.66788,-104.97145,Entire bungalow,Entire home/apt,6,2.0,3.0,208.0,255,53040.0,4.83,100.0,<=300
20163628,24517598,t,West Highland,39.76321,-105.03722,Entire home,Entire home/apt,7,1.5,3.0,234.0,255,59670.0,4.82,100.0,<=300
20211505,21899708,t,Sunnyside,39.77662,-105.01914,Entire townhouse,Entire home/apt,6,2.0,2.0,230.0,255,58650.0,4.86,100.0,<=300
22515364,165269170,t,Five Points,39.76097,-104.97516,Entire guesthouse,Entire home/apt,4,1.0,2.0,203.0,255,51765.0,4.94,100.0,<=300
23467833,4150751,t,Congress Park,39.73268,-104.95908,Entire home,Entire home/apt,8,2.0,3.0,208.0,255,53040.0,4.92,100.0,<=300
27985624,107582791,t,Sunnyside,39.77834,-105.02467,Entire home,Entire home/apt,8,3.0,3.0,208.0,255,53040.0,4.89,100.0,<=300
36485190,168940217,t,CBD,39.7465,-104.99086,Entire condo,Entire home/apt,5,2.0,2.0,288.0,255,73440.0,4.81,100.0,<=300
38041125,4057234,f,West Colfax,39.7399,-105.03775,Entire home,Entire home/apt,4,1.0,2.0,217.0,238,51646.0,4.94,93.33333333333333,<=300
41318528,52273751,t,Lincoln Park,39.73226,-105.00146,Entire home,Entire home/apt,5,2.5,2.0,197.0,255,50235.0,4.88,100.0,<=300
41347370,65145576,t,Jefferson Park,39.75129,-105.01777,Entire home,Entire home/apt,9,3.5,3.0,256.0,255,65280.0,4.95,100.0,<=300
41976075,219524979,f,Highland,39.76271,-105.00601,Entire rental unit,Entire home/apt,6,1.0,2.0,211.0,255,53805.0,4.41,100.0,<=300
42503979,12645276,t,Athmar Park,39.7025,-105.01892,Entire home,Entire home/apt,6,3.0,3.0,260.0,255,66300.0,4.78,100.0,<=300
