id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
360,Denver’s Peaceful Oasis for Travel Nurses & Nomads,666,Jennifer,,Highland,39.766414642333984,-105.0020980834961,Entire home/apt,139,29,186,2025-08-18,2.14,2,120,3,2017-BFN-0002177
364,Lodo / RiNo LOFT  via airport train,783,Jason,,Five Points,39.76672,-104.97906,Entire home/apt,213,185,87,2016-04-26,0.44,1,358,0,
592,private,933,Jill,,North Park Hill,39.75481,-104.91106,Private room,46,2,201,2025-09-14,0.99,1,232,25,2021-BFN-0000578
686,Alexandra's Queen Bed Room Long-term Rental Only,990,Alexandra,,North Capitol Hill,39.74695,-104.97838,Private room,40,30,252,2025-05-14,1.21,1,164,2,
1940,Baker Studio: Private-full kitchen-W/D-walkable,2150,Joanne,,Baker,39.72020510811656,-104.99749898910522,Entire home/apt,87,1,244,2025-09-27,2.31,2,348,44,2018-BFN-0002596
31503,Highland Park Guest House,135298,Rick,,West Highland,39.76179,-105.02845,Entire home/apt,77,4,191,2025-09-08,1.04,1,324,15,2020-BFN-0000193
39405,LoHi Secret Garden at Mulberry at Denver Cottages,666,Jennifer,,Highland,39.76605337851223,-105.00307815462764,Entire home/apt,140,2,771,2025-09-28,4.18,2,156,57,2022-BFN-0010458
90307,Comfy King Bed (Park Hill),489506,Doreen,,South Park Hill,39.7495,-104.93362,Private room,90,1,303,2025-07-16,1.81,3,210,19,2023-BFN-0046364
154999,Midland Lofts 209: In the Heart of Downtown,460083844,Susan,,CBD,39.74439,-104.98927,Entire home/apt,102,30,14,2025-05-17,0.08,26,365,2,
192430,Treetop View Room East City Park 1-2 months,923646,Kate,,South Park Hill,39.7435,-104.93753,Private room,36,29,133,2025-08-31,0.77,1,137,1,
364585,Washington Park Stunning Townhouse,930851,Nicholas,,Washington Park West,39.69845,-104.98073,Entire home/apt,165,29,145,2025-06-05,0.88,1,365,1,
370209,Private room in the nest - w/bathroom,269892,Maura,,Baker,39.7172,-104.99767,Private room,68,2,210,2025-09-21,1.69,2,317,32,2017-BFN-0008931
477016,Private room In the heart of Denver,10951,Tricia,,City Park West,39.74348,-104.97089,Private room,59,3,447,2025-09-05,2.77,1,136,27,2019-BFN-0009249
504080,Creative Haven in Artist’s Abode,2370964,Andrea,,Clayton,39.76574,-104.95379,Entire home/apt,102,3,102,2025-07-28,0.63,1,58,8,2017-BFN-0001679
575758,a REAL warehouse LOFT,2832150,Kerry,,Five Points,39.76561,-104.97945,Entire home/apt,191,180,37,2017-01-09,0.27,1,365,0,
632709,1890 townhome in popular LoHi! 2018-BFN-0009355,2157095,Valerie,,Highland,39.76468,-105.00883,Entire home/apt,129,29,154,2020-03-13,1.04,1,149,0,
